iter	Logloss
0	0.6776637012
1	0.6637265079
2	0.6502097318
3	0.6384345972
4	0.6294811345
5	0.6183144016
6	0.6082321486
7	0.5979381989
8	0.5894617415
9	0.5800247101
10	0.5717920595
11	0.5643097061
12	0.5568683551
13	0.5503301354
14	0.5442181388
15	0.5384528663
16	0.5329503743
17	0.5277222969
18	0.5228036922
19	0.5178136766
20	0.513680824
21	0.5089458726
22	0.5049208614
23	0.501696093
24	0.4987587553
25	0.4957204879
26	0.4928585906
27	0.4902123042
28	0.4879081986
29	0.4857610312
30	0.4830939437
31	0.4807574608
32	0.4781988537
33	0.4765749128
34	0.474616442
35	0.4725545125
36	0.4712596319
37	0.4697474135
38	0.4681549687
39	0.4667958758
40	0.465536346
41	0.4643685839
42	0.463131617
43	0.4617079433
44	0.4606248583
45	0.4595612791
46	0.4586695805
47	0.4579157296
48	0.4571369574
49	0.4562824131
50	0.4553763315
51	0.4544098338
52	0.4535287781
53	0.4528211768
54	0.4521659447
55	0.4516119466
56	0.45084439
57	0.4503163468
58	0.4496292107
59	0.4490269649
60	0.4484389026
61	0.4478705917
62	0.4473277158
63	0.4469274234
64	0.4466431819
65	0.4460275932
66	0.4455020077
67	0.4451267662
68	0.4447129744
69	0.4442305302
70	0.4439739381
71	0.4436009963
72	0.4432026087
73	0.4429358916
74	0.4425898839
75	0.4422607367
76	0.4418474609
77	0.4418017723
78	0.4414803237
79	0.441219567
80	0.440827291
81	0.4405538687
82	0.4402394473
83	0.4400287528
84	0.4397951363
85	0.4395569423
86	0.4393216169
87	0.4391066522
88	0.4390204053
89	0.4388172287
90	0.4386526523
91	0.438440624
92	0.4383300653
93	0.438084589
94	0.4379806373
95	0.4378596374
96	0.4376271046
97	0.4374067448
98	0.4372062865
99	0.4370040397
100	0.4367445448
101	0.4365789215
102	0.4364266439
103	0.4362592559
104	0.4361442632
105	0.4361307451
106	0.4359938027
107	0.435817795
108	0.4356947419
109	0.4355798967
110	0.4354359489
111	0.4352944247
112	0.4351419028
113	0.4350223018
114	0.4348933708
115	0.4347959616
116	0.4346872585
117	0.4345058368
118	0.434412896
119	0.4342790694
120	0.4340986731
121	0.4339564065
122	0.4338542754
123	0.4337918992
124	0.4336939663
125	0.4335308342
126	0.4333577166
127	0.4331874964
128	0.4330434734
129	0.4329245136
130	0.4328297448
131	0.432699184
132	0.4325084061
133	0.4324602279
134	0.4323377571
135	0.43222189
136	0.4321097536
137	0.4319922181
138	0.4318636513
139	0.4317671499
140	0.4317183047
141	0.4316385466
142	0.4315044891
143	0.4313658821
144	0.4312637394
145	0.4311719049
146	0.431043063
147	0.4310005545
148	0.4308182569
149	0.4307256856
150	0.4306324211
151	0.4305989165
152	0.4305210133
