iter	RMSE
277	544058.0986
278	543461.6133
279	543206.9681
280	543193.0272
281	543039.2813
282	542821.2877
283	542489.5848
284	542184.7168
285	542110.351
286	541806.0148
287	541610.1385
288	541381.1066
289	541375.4756
290	541269.2033
291	541142.9173
292	541128.3078
293	541000.6438
294	540805.0969
295	540495.7143
296	540236.0489
297	540125.2982
298	539856.3103
299	539749.1442
300	539549.6022
301	539396.2835
302	539335.7636
303	539326.0657
304	539224.2065
305	539126.8612
306	538848.367
307	538506.6835
308	538347.0558
309	538340.3159
310	538294.0596
311	538102.3486
312	538092.1242
313	537897.0784
314	537855.25
315	537549.7975
316	537508.4579
317	537299.1135
318	537230.5212
319	537186.8951
320	537062.2256
321	536817.1963
322	536759.3117
323	536510.6757
324	536439.0787
325	536244.2535
326	536026.6989
327	535772.1794
328	535590.3023
329	535487.913
330	535337.1212
331	535334.7165
332	535160.1733
333	535070.1041
334	534872.9375
335	534803.7805
336	534793.2866
337	534641.8972
338	534450.2415
339	534336.8872
340	534100.7507
341	534078.1236
342	534024.7189
343	533733.5316
344	533454.0569
345	533360.7354
346	533096.3718
347	532967.4058
348	532810.3475
349	532644.9529
350	532571.6755
351	532521.8784
352	532408.9745
353	532240.7916
354	532089.6686
355	532037.6962
356	531948.1862
357	531620.0907
358	531545.8171
359	531424.5996
360	531298.443
361	531199.2843
362	531042.6424
363	530999.4708
364	530993.5202
365	530942.715
366	530808.9481
367	530787.1953
368	530589.7753
369	530580.8024
370	530578.7447
371	530398.9646
372	530351.5836
373	530183.212
374	530162.4452
375	529728.1039
376	529596.4683
377	529429.0139
378	529367.9884
379	529299.7991
380	529180.4792
381	529123.8948
382	528980.3572
383	528941.7511
384	528883.9336
385	528839.1659
386	528674.0699
387	528652.3569
388	528650.8884
389	528603.6144
390	528506.7239
391	528430.2611
392	528356.0179
393	528318.455
394	528301.6282
395	528155.1209
396	528115.1614
397	528053.6089
398	527913.7842
399	527818.3641
400	527726.3175
401	527725.1546
402	527677.3476
403	527567.4578
404	527538.0508
405	527530.7946
406	527334.1873
407	527117.7915
408	527059.9135
409	527052.8669
410	527027.7408
411	526987.1969
412	526955.3577
413	526943.3694
414	526935.8913
415	526867.9346
416	526811.8668
417	526729.7392
418	526729.7317
419	526392.4969
420	526313.0077
421	526312.9999
422	526217.0037
423	526216.9942
424	526216.9853
425	526181.4306
426	526146.0134
427	526068.6216
428	525989.1377
429	525966.5573
430	525963.1604
431	525963.1544
432	525928.3393
433	525928.3335
434	525928.3281
435	525900.5211
436	525900.5152
437	525883.0783
438	525840.277
439	525795.13
440	525778.8284
441	525761.6958
442	525740.3089
443	525664.4374
444	525568.626
445	525480.2125
446	525407.6461
447	525407.6421
448	525407.6383
449	525334.1369
450	525300.426
451	525286.4421
452	525233.4769
453	525233.4711
454	525128.4553
455	525106.2063
456	525094.5011
457	525072.9331
458	525072.9277
459	525046.7266
460	524973.4995
461	524793.1022
462	524608.1836
463	524585.4183
464	524574.0886
465	524532.8161
466	524505.5417
467	524419.4914
468	524419.4738
469	524383.5882
470	524383.5709
471	524343.8234
472	524343.8061
473	524328.2959
474	524328.28
475	524315.3652
476	524260.3913
477	524231.0879
478	524112.8451
479	524091.0934
480	524024.4592
481	523960.8674
482	523917.6975
483	523911.8018
484	523907.7217
485	523907.6982
486	523907.676
487	523859.3918
488	523830.5621
489	523805.9658
490	523790.7514
491	523659.5291
492	523659.482
493	523533.1693
494	523482.1715
495	523482.1462
496	523358.0089
497	523356.2849
498	523330.0019
499	523324.4943
500	523305.7642
501	523304.9586
502	523304.9352
503	523278.4705
504	523272.6518
505	523131.6851
506	523123.7682
507	523005.8847
508	523005.871
509	523005.1432
510	522982.8648
511	522965.9728
512	522803.2967
513	522738.5966
514	522738.5682
515	522738.5411
516	522139.9656
517	522069.1728
518	522067.592
519	522067.5673
520	522066.0742
521	522046.0962
522	522038.377
523	522037.5834
524	522016.516
525	522013.4095
526	522007.6875
527	521987.1254
528	521960.9519
529	521943.3806
530	521942.0208
531	521941.994
532	521921.2887
533	521918.2131
534	521867.0496
535	521575.639
536	521411.823
537	521372.3984
538	521349.4375
539	521320.732
540	521239.1425
541	521226.4612
542	521135.6943
543	521135.6664
544	521114.8222
545	521047.343
546	521042.9452
547	521003.2127
548	520986.0693
549	520959.7415
550	520949.8963
551	520926.2553
552	520898.9111
553	520840.8565
554	520828.4074
555	520823.4993
556	520794.3085
557	520740.5247
558	520702.5063
559	520699.331
560	520666.2436
561	520636.9313
562	520599.8495
563	520581.9064
564	520388.558
565	520187.6332
566	520144.7162
567	520144.6846
568	520019.5994
569	520018.3239
570	520007.216
571	519962.6118
572	519914.2198
573	519683.4408
574	519624.7879
575	519624.7809
576	519610.9081
577	519609.9828
578	519609.9717
579	519586.9088
580	519586.2077
581	519572.0972
582	519539.8946
583	519467.0776
584	519466.5595
585	519363.9461
586	519363.7836
587	519354.7074
588	519349.3712
589	519345.3163
590	519283.6969
591	519281.6371
592	519276.4714
593	519243.0095
594	519232.713
595	519226.3488
596	519180.6138
597	519146.91
598	519142.674
599	519120.0559
600	519013.0983
601	518996.3639
602	518851.3354
603	518847.737
604	518831.6383
605	518811.8409
606	518781.8171
607	518687.9031
608	518676.3143
609	518675.0694
610	518673.8774
611	518662.0555
612	518408.2011
613	518388.856
614	518361.1641
615	518299.0249
616	518297.808
617	518283.9889
618	518283.9433
619	518283.2465
620	518241.5527
621	518240.3809
622	518117.4306
623	518076.3715
624	518072.6947
625	518068.7044
626	518056.7382
627	518056.708
628	518055.7454
629	518055.6508
630	517971.3734
631	517970.5074
632	517950.5493
633	517884.1686
634	517874.0853
635	517874.0589
636	517841.448
637	517840.683
638	517759.6805
639	517705.7031
640	517688.8814
641	517677.6826
642	517666.6642
643	517657.4139
644	517614.9691
645	517596.0636
646	517593.7538
647	517568.8905
648	517563.3629
649	517562.6028
650	517517.8355
651	517505.0877
652	517473.7849
653	517391.6577
654	517382.5219
655	517381.984
656	517327.062
657	517324.073
658	517315.1141
659	517261.3321
660	517028.2688
661	517024.2835
662	517020.5346
663	516992.4737
664	516651.621
665	516647.6884
666	516639.7533
667	516574.2393
668	516448.4834
669	516361.2887
670	516346.28
671	516265.9566
672	516262.3838
673	515709.6938
674	515689.9213
675	515668.1363
676	515615.9415
677	515601.2588
678	515599.93
679	515585.6206
680	515577.8395
681	515576.456
682	515555.5788
683	515532.7547
684	515531.6838
685	515530.1058
686	515467.7653
687	515245.9111
688	515238.9963
689	515229.9568
690	515227.3676
691	515224.6955
692	515124.9063
693	515100.2386
694	514940.4342
695	514940.3992
696	514930.5791
697	514909.9053
698	514873.606
699	514867.2131
700	514825.342
701	514648.8745
702	514645.8967
703	514600.0359
704	514594.6327
705	514546.6578
706	514543.1094
707	514507.5216
708	514498.6184
709	514484.4837
710	514479.6214
711	514421.649
712	514394.6237
713	514378.7931
714	514357.0392
715	514353.4742
716	514324.5924
717	514289.8871
718	514285.7557
719	514108.3971
720	514081.704
721	514035.6523
722	514016.3622
723	514009.5918
724	513950.754
725	513895.9289
726	513876.2288
727	513870.2297
728	513853.5992
729	513796.6663
730	513750.2252
731	513660.1547
732	513641.086
733	513396.8023
734	513338.601
735	513331.0567
736	513317.1677
737	513315.3746
738	513311.7956
739	513306.5832
740	513303.1625
741	513194.6525
742	513192.4321
743	513176.8901
744	513139.2016
745	513123.659
746	513120.2399
747	513109.1204
748	513106.4645
749	513014.1924
750	512960.8192
751	512957.9357
752	512905.5024
753	512902.1059
754	512892.5284
755	512847.5832
756	512845.8661
757	512831.6144
758	512817.4116
759	512810.0455
760	512799.0691
761	512773.8485
762	512722.5834
763	512718.8634
764	512673.7914
765	512669.6825
766	512637.3639
767	512634.6453
768	512590.7889
769	512588.8628
770	512587.7051
771	512586.3116
772	512508.2142
773	512494.8637
774	512489.5234
775	512438.35
776	512396.5014
777	512385.5825
778	512383.5278
779	512380.1844
780	512378.8811
781	512376.7488
782	512353.137
783	512346.8739
784	512343.1248
785	512250.2601
786	512230.2189
787	512228.4991
788	512223.8161
789	512162.3732
790	512160.0268
791	512146.8635
792	512139.1815
793	512126.1149
794	512100.9374
795	511911.8182
796	511893.644
797	511892.9654
798	511891.1296
799	511878.8751
800	511860.2038
801	511848.4552
802	511832.3415
803	511830.669
804	511819.3386
805	511815.349
806	511815.1918
807	511815.1907
808	511813.4744
809	511803.2593
810	511734.5393
811	511730.6459
812	511728.1687
813	511641.5055
814	511610.0034
815	511576.8276
816	511547.7265
817	511526.2536
818	511459.6149
819	511374.9848
820	511370.0353
821	511349.7388
822	511337.6618
823	511336.918
824	511326.1985
825	511324.3668
826	511324.2648
827	511301.0629
828	511299.4909
829	511297.7122
830	511297.0388
831	511262.1437
832	511240.641
833	511239.5353
834	511227.8451
835	511032.9796
836	510897.4929
837	510889.322
838	510859.2507
839	510857.3148
840	510856.6249
841	510843.2904
842	510842.7302
843	510842.4514
844	510835.6763
845	510834.4869
846	510831.3989
847	510830.3881
848	510829.7859
849	510819.4741
850	510805.5464
851	510558.8395
852	510549.3308
853	510548.7771
854	510525.9949
855	510524.4836
856	510522.8241
857	510505.0609
858	510451.6851
859	510446.0011
860	510439.3347
861	510436.4522
862	510421.0256
863	510380.1581
864	510359.99
865	510357.4345
866	510284.544
867	510281.4014
868	510245.3052
869	510241.9705
870	510235.9308
871	510232.0891
872	510209.7851
873	510206.1991
874	510179.6364
875	510154.4306
876	510153.0684
877	509973.5997
878	509964.8325
879	509958.1136
880	509950.0589
881	509910.3069
882	509866.1179
883	509863.5561
884	509860.0002
885	509854.7643
886	509847.5194
887	509846.1246
888	509846.1008
889	509829.9744
890	509767.2394
891	509279.9846
892	509277.3913
893	509181.4465
894	509180.6131
895	509154.6179
896	509151.2436
897	509129.0714
898	509125.3602
899	509091.0561
900	509070.5872
901	508765.4068
902	508671.227
903	508657.6021
904	508655.2693
905	508651.1712
906	508641.6059
907	508633.0122
908	508628.435
909	508619.8638
910	508591.5329
911	508576.3835
912	508471.1241
913	508401.2494
914	508389.405
915	508369.7913
916	508341.3199
917	508186.4887
918	508185.1185
919	508182.8888
920	508121.2914
921	508081.1041
922	508063.1976
923	508061.5557
924	508058.2476
925	508035.1414
926	508000.2505
927	507997.9034
928	507915.1222
929	507913.4208
930	507912.2207
931	507879.1764
932	507821.5258
933	507734.6255
934	507692.1024
935	507690.316
936	507688.5866
937	507633.0948
938	507333.8667
939	507321.3407
940	507297.7274
941	507296.401
942	507294.2045
943	507169.3091
944	507132.4489
945	506955.5658
946	506951.2279
947	506857.1954
948	506843.4454
949	506840.8422
950	506838.8311
951	506791.2421
952	506622.195
953	506603.757
954	506602.1406
955	506598.6894
956	506598.0588
957	506574.9753
958	506573.611
959	506573.4242
960	506572.1367
961	506426.4397
962	506416.3023
963	506416.113
964	506114.3716
965	506109.8671
966	506072.8805
967	506071.4062
968	506045.8306
969	506045.6549
970	506042.3567
971	505978.858
972	505975.6415
973	505974.2069
974	505959.5196
975	505955.1809
976	505943.6405
977	505855.5927
978	505833.206
979	505829.2098
980	505829.0449
981	505792.095
982	505658.6598
983	505466.6777
984	505465.8094
985	505450.5435
986	505420.4304
987	505416.6982
988	505416.517
989	505409.7582
990	505404.9471
991	505299.2162
992	505299.0309
993	505288.8377
994	505287.8213
995	505256.4117
996	505246.7809
997	505243.4898
998	505234.9371
999	505229.2745
