Date,State,Candidate Name,Number of Votes,Percentage,(I),Party,,,,,
26-Jun,Maryland,Tony Campbell,49428.00,0.29,0.00,R,,,,,
26-Jun,Maryland,Chris Chaffee,40869.00,24.20,0.00,R,,,,,
26-Jun,Maryland,Christina Grigorian,29532.00,17.50,0.00,R,,,,,
26-Jun,Maryland,John Graziani,14844.00,8.80,0.00,R,,,,,
26-Jun,Maryland,Blaine Taylor,8485.00,5.00,0.00,R,,,,,
26-Jun,Maryland,Gerald Smith,7200.00,4.30,0.00,R,,,,,
26-Jun,Maryland,Brian Vaeth,5194.00,3.10,0.00,R,,,,,
26-Jun,Maryland,Evan Cronhardt,4213.00,2.50,0.00,R,,,,,
26-Jun,Maryland,Bill Krehnbrink,3430.00,2.00,0.00,R,,,,,
26-Jun,Maryland,Nnabu Eze,3258.00,1.90,0.00,R,,,,,
26-Jun,Maryland,Albert Howard,2594.00,1.50,0.00,R,,,,,
26-Jun,Utah,Jenny Wilson,0.00,0.00,0.00,D,,,,,
26-Jun,Utah,Mitt Romney,217049.00,0.72,0.00,R,,,,,
26-Jun,Utah,Mike Kennedy,85622.00,28.30,0.00,R,,,,,
2-Aug,Tennessee,Marsha Blackburn,610883.00,84.50,0.00,R,,,,,
2-Aug,Tennessee,Phil Bredesen,348301.00,91.50,0.00,D,,,,,
2-Aug,Tennessee,Aaron Pettigrew,112231.00,15.50,0.00,R,,,,,
2-Aug,Tennessee,Gary Davis,20118.00,5.30,0.00,D,,,,,
2-Aug,Tennessee,John Wolfe,12232.00,3.20,0.00,D,,,,,
7-Aug,Michigan,Debbie Stabenow,0.00,0.00,1.00,D,,,,,
7-Aug,Michigan,John James,516345.00,54.70,0.00,R,,,,,
7-Aug,Michigan,Sandy Pensler,428105.00,45.30,0.00,R,,,,,
7-Aug,Missouri,Claire McCaskill*,500162.00,0.83,1.00,D,,,,,
7-Aug,Missouri,Carla Wright,40971.00,6.80,0.00,D,,,,,
7-Aug,Missouri,John Hogan,15928.00,2.60,0.00,D,,,,,
7-Aug,Missouri,David Faust,15902.00,2.60,0.00,D,,,,,
7-Aug,Missouri,Angelica Earl,15453.00,2.60,0.00,D,,,,,
7-Aug,Missouri,Travis Gonzalez,9453.00,1.60,0.00,D,,,,,
7-Aug,Missouri,Leonard Steinman,7634.00,1.30,0.00,D,,,,,
7-Aug,Missouri,Josh Hawley,389006.00,0.59,0.00,D,,,,,
7-Aug,Missouri,Tony Monetti,64718.00,9.80,0.00,D,,,,,
7-Aug,Missouri,Austin Petersen,54810.00,8.30,0.00,D,,,,,
7-Aug,Missouri,Kristi Nichols,49554.00,7.50,0.00,D,,,,,
7-Aug,Missouri,Christina Smith,34948.00,5.30,0.00,D,,,,,
7-Aug,Missouri,Ken Patterson,19537.00,2.90,0.00,D,,,,,
7-Aug,Missouri,Peter Pfeifer,16557.00,2.50,0.00,D,,,,,
7-Aug,Missouri,Courtland Sykes,13862.00,2.10,0.00,D,,,,,
7-Aug,Missouri,Fred Ryman,8763.00,1.30,0.00,D,,,,,
7-Aug,Missouri,Brian Hagg,6913.00,1.00,0.00,D,,,,,
7-Aug,Missouri,Bradley Krembs,4885.00,0.70,0.00,D,,,,,
7-Aug,Washington,Maria Cantwell*,772884.00,0.55,0.01,D,,,,,
7-Aug,Washington,Susan Hutchison,338174.00,24.20,0.00,R,,,,,
7-Aug,Washington,Keith Swank,33136.00,2.40,0.00,R,,,,,
7-Aug,Washington,Joey Gibson,31905.00,2.30,0.00,R,,,,,
7-Aug,Washington,Clint Tannehill,28657.00,2.00,0.00,D,,,,,
7-Aug,Washington,Dave Bryant,27884.00,2.00,0.00,R,,,,,
7-Aug,Washington,Art Coday,22912.00,1.60,0.00,R,,,,,
7-Aug,Washington,Jennifer Ferguson,19825.00,1.40,0.00,Independent,,,,,
7-Aug,Washington,Tim Owen,19122.00,1.40,0.00,R,,,,,
7-Aug,Washington,Matt Hawkins,10392.00,0.70,0.00,R,,,,,
7-Aug,Washington,Don Rivers,10166.00,0.70,0.00,D,,,,,
7-Aug,Washington,Glen Stockwell,9693.00,0.70,0.00,R,,,,,
7-Aug,Washington,Mike Luke,9681.00,0.70,0.00,Libertarian,,,,,
7-Aug,Washington,Thor Amundson,7788.00,0.60,0.00,Independent,,,,,
7-Aug,Washington,Mohammad Said,6948.00,0.50,0.00,D,,,,,
7-Aug,Washington,Matthew Heines,6450.00,0.50,0.00,R,,,,,
7-Aug,Washington,Steve Hoffman,5756.00,0.40,0.00,Socialist,,,,,
7-Aug,Washington,GoodSpaceGuy,5748.00,0.40,0.00,R,,,,,
7-Aug,Washington,John Orlinski,5613.00,0.40,0.00,R,,,,,
7-Aug,Washington,Dave Strider,5562.00,0.40,0.00,Independent,,,,,
7-Aug,Washington,Roque De La Fuente,4715.00,0.30,0.00,R,,,,,
7-Aug,Washington,Jimmie Deal,3111.00,0.20,0.00,Green,,,,,
7-Aug,Washington,Sam Wright,3078.00,0.20,0.00,Independent,,,,,
7-Aug,Washington,George Kalberer,2064.00,0.10,0.00,D,,,,,
7-Aug,Washington,Brad Chase,2038.00,0.10,0.00,Independent,,,,,
7-Aug,Washington,Charlie Jackson,1999.00,0.10,0.00,Independent,,,,,
7-Aug,Washington,RC Smith,1870.00,0.10,0.00,R,,,,,
7-Aug,Washington,Jon Butler,1659.00,0.10,0.00,Independent,,,,,
7-Aug,Washington,Alex Tsimerman,1140.00,0.10,0.00,Independent,,,,,
11-Aug,Hawaii,Mazie Hirono,0.00,0.00,0.01,D,,,,,
11-Aug,Hawaii,Ron Curtis,6365.00,0.24,0.00,R,,,,,
11-Aug,Hawaii,Consuelo Anderson,5166.00,19.30,0.00,R,,,,,
11-Aug,Hawaii,Robert Helsham,3988.00,14.90,0.00,R,,,,,
11-Aug,Hawaii,Thomas White,3657.00,13.60,0.00,R,,,,,
11-Aug,Hawaii,Roque De La Fuente,3060.00,11.40,0.00,R,,,,,
11-Aug,Hawaii,George Berish,1658.00,6.20,0.00,R,,,,,
11-Aug,Hawaii,Michael Hodgkiss,1575.00,5.90,0.00,R,,,,,
11-Aug,Hawaii,Eddie Pirkowski,1357.00,5.10,0.00,R,,,,,
14-Aug,Minnesota,Amy Klobuchar*,556430.00,0.96,1.00,D,,,,,
14-Aug,Minnesota,Steve Carlson,9912.00,1.70,0.00,D,,,,,
14-Aug,Minnesota,Stephen Emery,7052.00,1.20,0.00,D,,,,,
14-Aug,Minnesota,David Groves,4503.00,0.80,0.00,D,,,,,
14-Aug,Minnesota,Leonard Richards,3542.00,0.60,0.00,D,,,,,
14-Aug,Minnesota,Jim Newberger,201089.00,0.70,0.00,R,,,,,
14-Aug,Minnesota,Merrill Anderson,45390.00,15.70,0.00,R,,,,,
14-Aug,Minnesota,Rae Hart Anderson,25871.00,8.90,0.00,R,,,,,
14-Aug,Minnesota,Roque De La Fuente,17003.00,5.90,0.00,R,,,,,
14-Aug,Wisconsin,Leah Vukmir,217023.00,0.49,0.00,R,,,,,
14-Aug,Wisconsin,Kevin Nicholson,190840.00,43.00,0.00,R,,,,,
14-Aug,Wisconsin,George Lucia,18803.00,4.20,0.00,R,,,,,
14-Aug,Wisconsin,Griffin Jones,8764.00,2.00,0.00,R,,,,,
14-Aug,Wisconsin,Charles Barman,7937.00,1.80,0.00,R,,,,,
14-Aug,Wisconsin,Tammy Baldwin ,0.00,0.00,1.00,D,,,,,
14-Aug,Connecticut,Christopher S. Murphy ,0.00,0.00,1.00,D,,,,,
14-Aug,Connecticut,Matthew Corey,99624.00,0.77,0.00,R,,,,,
14-Aug,Connecticut,Dominic Rapini,30531.00,23.50,0.00,R,,,,,
14-Aug,Vermont,Bernie Sanders*,63678.00,0.94,1.00,D,,,,,
14-Aug,Vermont,Folasade Adeluola,3764.00,5.60,0.00,D,,,,,
14-Aug,Vermont,Brooke Paige,9832.00,0.40,0.00,R,,,,,
14-Aug,Vermont,Lawrence Zupan,9429.00,37.90,0.00,R,,,,,
14-Aug,Vermont,Jasdeep Pannu,4544.00,18.30,0.00,R,,,,,
14-Aug,Vermont,Roque De La Fuente,1053.00,4.20,0.00,R,,,,,
21-Aug,Wyoming,Gary Trauner,0.00,0.00,0.00,D,,,,,
21-Aug,Wyoming,John Barrasso*,74018.00,0.65,1.00,D,,,,,
21-Aug,Wyoming,Dave Dodson,32523.00,28.50,0.00,D,,,,,
21-Aug,Wyoming,John Holtz,2982.00,2.60,0.00,D,,,,,
21-Aug,Wyoming,Charlie Hardy,2370.00,2.10,0.00,D,,,,,
21-Aug,Wyoming,Roque De La Fuente,1280.00,1.10,0.00,D,,,,,
21-Aug,Wyoming,Anthony Van Risseghem,869.00,0.80,0.00,D,,,,,
28-Aug,Arizona,Kyrsten Sinema,"314,108",80.50%,0,D,,,,,
28-Aug,Arizona,Deedra Abboud,"76,128",19.5,0.00,D,,,,,
28-Aug,Arizona,Martha McSally,"263,734",52.90%,0,R,,,,,
28-Aug,Arizona,Kelli Ward,"140,630",28.2,0,R,,,,,
28-Aug,Arizona,Joe Arpaio,"94,440",18.9,0,R,,,,,
28-Aug,Florida,Bill Nelson,0.00,0.00,1.00,D,,,,,
28-Aug,Florida,Rick Scott,"1,452,952",88.60%,0,R,,,,,
28-Aug,Florida,Roque De La Fuente,"186,636",11.4,0,R,,,,,
