Date,State,Candidate Name,Number of Votes,Percentage,(I),Party,,,,,
5-Jun,Mississippi,Howard Sherman,27358.00,0.32,0.00,D,,,,,
5-Jun,Mississippi,David Baria,26568.00,31.00,0.00,D,,,,,
5-Jun,Mississippi,Omeria Scott,20642.00,24.10,0.00,D,,,,,
5-Jun,Mississippi,Victor Maurice,4223.00,4.90,0.00,D,,,,,
5-Jun,Mississippi,Jerone Garland,4142.00,4.80,0.00,D,,,,,
5-Jun,Mississippi,Jensen Bohren,2776.00,3.20,0.00,D,,,,,
5-Jun,Mississippi,Roger Wicker*,128309.00,0.83,1.00,R,,,,,Indiana
5-Jun,Mississippi,Richard Boyanton,26713.00,17.20,0.00,R,,,,,WV
5-Jun,New Jersey,Robert Menendez*,259875.00,0.62,1.00,D,,,,,Montana
5-Jun,New Jersey,Lisa McCormick,157983.00,37.80,0.00,D,,,,,Nevada
5-Jun,New Jersey,Bob Hugin,167121.00,0.75,0.00,R,,,,,North Dakota
5-Jun,New Jersey,Brian Goldberg,55274.00,24.90,0.00,R,,,,,
5-Jun,New Mexico,Martin Heinrich,0.00,0.00,1.00,D,,,,,
5-Jun,New Mexico,Mick Rich,0.00,0.00,0.00,R,,,,,
5-Jun,Montana,Jon Tester,0.00,0.00,1.00,D,,,,,
5-Jun,Montana,Matt Rosendale,51549.00,0.34,0.00,R,,,,,
5-Jun,Montana,Russ Fagg,43225.00,28.30,0.00,R,,,,,
5-Jun,Montana,Troy Downing,29151.00,19.10,0.00,R,,,,,
5-Jun,Montana,Al Olszewski,28558.00,18.70,0.00,R,,,,,
12-Jun,Nevada,Jacky Rosen,110530.00,0.77,0.00,D,,,,,
12-Jun,Nevada,None of these candidates,10070.00,7.00,0.00,D,,,,,
12-Jun,Nevada,David Knight,6340.00,4.40,0.00,D,,,,,
12-Jun,Nevada,Allen Rheinhart,4774.00,3.30,0.00,D,,,,,
12-Jun,Nevada,Jesse Sbaih,4538.00,3.20,0.00,D,,,,,
12-Jun,Nevada,Bobby Mahendra,3833.00,2.70,0.00,D,,,,,
12-Jun,Nevada,Danny Burleigh,3244.00,2.30,0.00,D,,,,,
12-Jun,Nevada,Dean Heller,99472.00,0.70,1.00,R,,,,,
12-Jun,Nevada,Tom Heck,26291.00,18.50,0.00,R,,,,,
12-Jun,Nevada,None of these candidates,5975.00,4.20,0.00,R,,,,,
12-Jun,Nevada,Sherry Brooks,5144.00,3.60,0.00,R,,,,,
12-Jun,Nevada,Sarah Gazala,4011.00,2.80,0.00,R,,,,,
12-Jun,Nevada,Vic Harrell,1282.00,0.90,0.00,R,,,,,
12-Jun,Maine,Zak Ringelstein,0.00,0.00,0.00,D,,,,,
12-Jun,Maine,Eric Brakey,0.00,0.00,0.00,R,,,,,
12-Jun,North Dakota,Heidi Heitkamp,0.00,0.00,1.00,D,,,,,
12-Jun,North Dakota,Kevin Cramer,60998.00,0.88,0.00,R,,,,,
12-Jun,North Dakota,Thomas O'Neill,8449.00,12.20,0.00,R,,,,,
12-Jun,Virginia,Tim Kaine,0.00,0.00,1.00,D,,,,,
12-Jun,Virginia,Corey Stewart,136544.00,0.45,0.00,R,,,,,
12-Jun,Virginia,Nick Freitas,131267.00,43.10,0.00,R,,,,,
12-Jun,Virginia,E.W. Jackson,36624.00,12.00,0.00,R,,,,,
26-Jun,New York,Kristen Gilibrand,0.00,0.00,1.00,D,,,,,
26-Jun,New York,Chele Farley,0.00,0.00,0.00,R,,,,,
26-Jun,Maryland,Ben Cardin,450890.00,80.40,1.00,D,,,,,
26-Jun,Maryland,Chelsea Manning,32201.00,5.70,0.00,D,,,,,
26-Jun,Maryland,Jerry Segal,18774.00,3.30,0.00,D,,,,,
26-Jun,Maryland,Debbie Wilson,17741.00,3.20,0.00,D,,,,,
26-Jun,Maryland,Marcia Morgan,15047.00,2.70,0.00,D,,,,,
26-Jun,Maryland,Lih Young,9273.00,1.70,0.00,D,,,,,
26-Jun,Maryland,Rikki Vaughn,8844.00,1.60,0.00,D,,,,,
26-Jun,Maryland,Erik Jetmir,7707.00,1.40,0.00,D,,,,,
