STATE,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES ,
Utah,,"Lawrence, William J. ""Dub""",,R,,,
Utah,,,Party Votes:,R,241274,,
Utah,,"Howell, Scott",,D,*,301873,
Utah,,"Ashdown, Pete",,D,,,
Utah,,"Peterson, William Bill ""Donald,"" II",,D,,,
Utah,,"McCausland, Shaun Lynn",,CON,*,31905,
Utah,,"Geery, Daniel",,UJP,*,8342,
Utah,,"Barron, Bill",,UN,,7172,
Utah,,"Secrist, JoAnn S.",,W,,1,
Utah,,,Total State Votes:,,241274,1006901,
,,,,,,,
Vermont,(I),"Welch, Peter",,D/WF,36863,208600,
Vermont,,Scattered,,W(D),359,,
Vermont,,,Party Votes:,D,37222,,
Vermont,,"Donka, Mark",,R,7623,67543,
Vermont,,Scattered ,,W(R),334,,
Vermont,,,Party Votes:,R,7957,,
Vermont,,"Desrochers, James ""Sam""",,IND,,8302,
Vermont,,"Newton, Jane",,LU,,4065,
Vermont,,"LaFramboise, Andre",,VKS,,1153,
Vermont,,Scattered,,W,,268,
Vermont,,Scattered,,W(PRO),379,,
Vermont,,,Party Votes:,PRO,379,,
Vermont,,,District Votes:,,45558,289931,
Vermont,,,,,,,
Vermont,,,Total State Votes:,,45558,289931,
Vermont,,,,,,,
Vermont,(I),"Sanders, Bernie",,D/IND,36902,207848,
Vermont,,Scattered ,,W(D),498,,
Vermont,,,Party Votes:,D,37400,,
Vermont,,"MacGovern, John",,R,6358,72898,
Vermont,,"Paige, H. Brooke",,R,2084,,
Vermont,,Scattered ,,W(R),331,,
Vermont,,,Party Votes:,R,8773,,
Vermont,,"Ericson, Cris",,USM,,5924,
Vermont,,"Diamondstone, Pete",,LU,,2511,
Vermont,,"Moss, Peter",,PEP,,2452,
Vermont,,"LaFramboise, Laurel",,VKS,,877,
Vermont,,Scattered ,,W,,252,
Vermont,,Scattered ,,W(PRO),412,,
Vermont,,,Party Votes:,PRO,412,,
Vermont,,,Total State Votes:,,46585,292762,
,,,,,,,
Virgin Islands,(I),"Christensen, Donna M.",,D,3957,11512,
Virgin Islands,,"Plaskett, Stacey E.",,D,3187,,
Virgin Islands,,"Bryan, Adelbert",,W(D),1,,
Virgin Islands,,"Pickan, Norma",,W(D),1,,
Virgin Islands,,"Plaskett, Stacy E.",,W(D),1,,
Virgin Islands,,"Richards, Keith",,W(D),1,,
Virgin Islands,,"Samuel, N. P.",,W(D),1,,
Virgin Islands,,"Samuel, Norma Pickan",,W(D),1,,
Virgin Islands,,"Samuel, Norma Pickard",,W(D),1,,
Virgin Islands,,,Party Votes:,D,7151,,
Virgin Islands,,"Redfield, Holland L., II",,R,143,2131,
Virgin Islands,,"Danet, Vincent E.",,R,59,,
Virgin Islands,,"King, Mytsooko",,W(R),1,,
Virgin Islands,,,Party Votes:,R,203,,
Virgin Islands,,"Mosler, Warren B.",,IND,,3276,
Virgin Islands,,"Pickard-Samuel, Norma ",,IND,,1927,
Virgin Islands,,"Mimoun, Guillaume",,IND,,312,
Virgin Islands,,Scattered,,W,,12,
Virgin Islands,,,District Votes:,,7354,19170,
Virgin Islands,,,,,,,
Virgin Islands,,,Total State Votes:,,7354,19170,
,,,,,,,
Virginia,,DISTRICT 1,,,,,
Virginia,(I),"Wittman, Robert J. ""Rob""",,R,Unopposed,200845,
Virginia,,"Cook, Adam M.",,D,*,147036,
Virginia,,"Parker, G. Gail",,IGR,,8308,
Virginia,,Scattered,,W,,617,
Virginia,,,District Votes:,,,356806,
Virginia,,DISTRICT 2,,,,,
Virginia,(I),"Rigell, E. Scott",,R,Unopposed,166231,
Virginia,,"Hirschbiel, Paul O., Jr.",,D,Unopposed,142548,
Virginia,,Scattered,,W,,443,
Virginia,,,District Votes:,,,309222,
Virginia,,DISTRICT 3,,,,,
Virginia,(I),"Scott, Robert C. ""Bobby""",,D,Unopposed,259199,
Virginia,,"Longo, Dean J.",,R,Unopposed,58931,
Virginia,,Scattered,,W,,806,
Virginia,,,District Votes:,,,318936,
Virginia,,DISTRICT 4,,,,,
Virginia,(I),"Forbes, J. Randy",,R,26879,199292,
Virginia,,"Girard, R. M. ""Bonnie""",,R,3081,,
Virginia,,,Party Votes:,R,29960,,
Virginia,,"Ward, Ella P.",,D,5830,150190,
Virginia,,"Elliott, Joe T., Jr.",,D,1005,,
Virginia,,,Party Votes:,D,6835,,
Virginia,,Scattered,,W,,564,
Virginia,,,District Votes:,,36795,350046,
Virginia,,DISTRICT 5,,,,,
Virginia,(I),"Hurt, Robert",,R,Unopposed,193009,
Virginia,,"Douglass, John Wade",,D,*,149214,
Virginia,,"Hildebrandt, Kenneth J.",,IGR,,5500,
Virginia,,Scattered,,W,,388,
Virginia,,,District Votes:,,,348111,
Virginia,,DISTRICT 6,,,,,
Virginia,(I),"Goodlatte, Robert W. ""Bob""",,R,21808,211278,
Virginia,,"Kwiatkowski, Karen U.",,R,10991,,
Virginia,,,Party Votes:,R,32799,,
Virginia,,"Schmookler, Andy B.",,D,Unopposed,111949,
Virginia,,Scattered,,W,,666,
Virginia,,,District Votes:,,32799,323893,
Virginia,,DISTRICT 7,,,,,
Virginia,(I),"Cantor, Eric I.",,R,37369,222983,
Virginia,,"Bayne, Floyd C.",,R,9668,,
Virginia,,,Party Votes:,R,47037,,
Virginia,,"Powell, E. Wayne",,D,*,158012,
Virginia,,Scattered,,W,,914,
Virginia,,,District Votes:,,47037,381909,
Virginia,,DISTRICT 8,,,,,
Virginia,(I),"Moran, James P. ""Jim,"" Jr.",,D,23018,226847,
Virginia,,"Shuttleworth, Bruce B.",,D,8006,,
Virginia,,,Party Votes:,D,31024,,
Virginia,,"Murray, J. Patrick",,R,Unopposed,107370,
Virginia,,"Howell, Jason J.",,IND,,10180,
Virginia,,"Murphy, Janet",,IGR,,5985,
Virginia,,Scattered,,W,,805,
Virginia,,,District Votes:,,31024,351187,
Virginia,,DISTRICT 9,,,,,
Virginia,(I),"Griffith, H. Morgan",,R,Unopposed,184882,
Virginia,,"Flaccavento, Anthony J.",,D,*,116400,
Virginia,,Scattered,,W,,376,
Virginia,,,District Votes:,,,301658,
Virginia,,DISTRICT 10,,,,,
Virginia,(I),"Wolf, Frank R.",,R,Unopposed,214038,
Virginia,,"Cabral, Kristin A.",,D,*,142024,
Virginia,,"Chisholm, J. Kevin",,IND,,9855,
Virginia,,Scattered,,W,,527,
Virginia,,,District Votes:,,,366444,
Virginia,,DISTRICT 11,,,,,
Virginia,(I),"Connolly, Gerald E. ""Gerry""",,D,Unopposed,202606,
Virginia,,"Perkins, Chris S. ",,R,11600,117902,
Virginia,,"Vaughn, Ken L.",,R,6866,,
Virginia,,,Party Votes:,R,18466,,
Virginia,,"Gibson, Mark T.",,IND,,3806,
Virginia,,"DeCarlo, Christopher F.",,IND,,3027,
Virginia,,"Galdo, Joe F. Jr.",,GRE,,2195,
Virginia,,"Marchetti, Peter M.",,IGR,,1919,
Virginia,,Scattered,,W,,788,
Virginia,,,District Votes:,,18466,332243,
Virginia,,,,,,,
Virginia,,,Total State Votes:,,166121,3740455,
Virginia,,,,,,,
Virginia,,"Kaine, Timothy M.",,D,Unopposed,2010067,
Virginia,,"Allen, George F.",,R,167906,1785542,
Virginia,,"Radtke, Jamie L.",,R,59117,,
Virginia,,"Marshall, R. G. ""Bob""",,R,17341,,
Virginia,,"Jackson, E. W.",,R,12116,,
Virginia,,,Party Votes:,R,256480,,
Virginia,,Scattered,,W,,6587,
Virginia,,,Total State Votes:,,256480,3802196,
,,,,,,,
Washington,,DISTRICT 1,,,,,
Washington,,"DelBene, Suzan",,D,33670,177025,
Washington,,"Koster, John",,R,67185,151187,
Washington,,"Burner, Darcy",,D,20844,,
Washington,,"Ruderman, Laura",,D,10582,,
Washington,,"Hobbs, Steve",,D,10279,,
Washington,,"Rauniyar, Darshan",,D,4134,,
Washington,,"Ishmael, Larry",,IP,3062,,
Washington,,,District Votes:,,149756,328212,
Washington,,DISTRICT 1 UNEXPIRED TERM:,,,,,
Washington,,"DelBene, Suzan",,D,39620,216144,
Washington,,"Burner, Darcy",,D,23902,,
Washington,,"Ruderman, Laura",,D,15463,,
Washington,,"Rauniyar, Darshan",,D,5143,,
Washington,,"Sullivan, Brian",,D,4861,,
Washington,,"Berry, Brian",,D,2796,,
Washington,,"Morrison, Ruth",,D,1939,,
Washington,,"Holcomb, J. Byron",,D,1396,,
Washington,,"Champion, Bob",,IP,2542,,
Washington,,"Koster, John",,R,56631,141591,
Washington,,"Gerdes, Steven J.",,R,4066,,
Washington,,,District Votes:,,158359,357735,
Washington,,DISTRICT 2,,,,,
Washington,(I),"Larsen, Rick",,D,79632,184826,
Washington,,"Matthews, Dan",,R,39956,117465,
Washington,,"Shoop, John C. W.",,R,8130,,
Washington,,"Lapointe, Mike",,NNP,5806,,
Washington,,"Olson, Eli",,R,3373,,
Washington,,"Johnson, Glen S.",,NOP,2289,,
Washington,,,District Votes:,,139186,302291,
Washington,,DISTRICT 3,,,,,
Washington,(I),"Beutler, Jaime Herrera",,R,68603,177446,
Washington,,"Haugen, Jon T.",,D,45693,116438,
Washington,,"Stevens, Norma Jean",,NOP,7108,,
Washington,,,District Votes:,,121404,293884,
Washington,,DISTRICT 4,,,,,
Washington,(I),"Hastings, Doc",,R,60774,154749,
Washington,,"Baechler, Mary",,D,27130,78940,
Washington,,"Wheeler, Jamie",,R,11581,,
Washington,,"Said, Mohammad H.",,D,2958,,
Washington,,,District Votes:,,102443,233689,
Washington,,DISTRICT 5,,,,,
Washington,(I),"Rodgers, Cathy McMorris",,R,83186,191066,
Washington,,"Cowan, Rich",,D,49406,117512,
Washington,,"Yearout, Randall L.",,R,11894,,
Washington,,"Moody, Ian",,NOP,4693,,
Washington,,,District Votes:,,149179,308578,
Washington,,DISTRICT 6,,,,,
Washington,,"Kilmer, Derek",,D,86436,186661,
Washington,,"Driscoll, Bill",,R,29602,129725,
Washington,,"Young, Jesse",,R,18075,,
Washington,,"Cloud, Doug",,R,14267,,
Washington,,"Eichner, David (Ike)",,R,7966,,
Washington,,"Arentz, Eric G., Jr.",,IP,4101,,
Washington,,"Brodhead, Stephan Andrew",,R,1387,,
Washington,,,District Votes:,,161834,316386,
Washington,,DISTRICT 7,,,,,
Washington,(I),"McDermott, Jim",,D,124692,298368,
Washington,,"Bemis, Ron",,R,26791,76212,
Washington,,"Hughes, Andrew",,D,10340,,
Washington,,"Sutherland, Scott",,GOP,5573,,
Washington,,"Allen, Charles",,D,4367,,
Washington,,"Rivers, Don",,D,2688,,
Washington,,Goodspaceguy,,EWP,1387,,
Washington,,,District Votes:,,175838,374580,
Washington,,DISTRICT 8,,,,,
Washington,(I),"Reichert, Dave",,R,66220,180204,
Washington,,"Porterfield, Karen",,D,37083,121886,
Washington,,"Swank, Keith",,R,10942,,
Washington,,"Arnold, Keith",,D,7144,,
Washington,,"Windle, James",,NOP,5269,,
Washington,,"Huber, Ernest",,R,4165,,
Washington,,,District Votes:,,130823,302090,
Washington,,DISTRICT 9,,,,,
Washington,(I),"Smith, Adam",,D,72868,192034,
Washington,,"Postma, Jim",,R,27616,76105,
Washington,,"Cramer, Tom",,D,8376,,
Washington,,"Orlinski, John",,R,6624,,
Washington,,"Christie, Dave",,FDR,3659,,
Washington,,,District Votes:,,119143,268139,
Washington,,DISTRICT 10,,,,,
Washington,,"Heck, Denny",,D,51047,163036,
Washington,,"Muri, Richard (Dick)",,R,36173,115381,
Washington,,"Flemming, Stan",,R,19934,,
Washington,,"Ferguson, Jennifer",,D,14026,,
Washington,,"Gunn, Sue",,PIN,4292,,
Washington,,"Hannon, Steve",,NOP,3025,,
Washington,,,District Votes:,,128497,278417,
Washington,,,,,,,
Washington,,,Total State Votes:,,1536462,3364001,
Washington,,,,,,,
Washington,(I),"Cantwell, Maria",,D,772058,1855493,
Washington,,"Baumgartner, Michael",,R,417141,1213924,
Washington,,"Coday, Art",,R,79727,,
Washington,,"Wilson, Timmy (Doc)",,D,31817,,
Washington,,"Jackson, Chuck",,R,25983,,
Washington,,"Stockwell, Glen (Stocky) R.",,R,25793,,
Washington,,"Mover, Mike the",,R,19535,,
Washington,,"Baker, Will",,REF,15005,,
Washington,,,Total State Votes:,,1387059,3069417,
,,,,,,,
West Virginia,,DISTRICT 1,,,,,
West Virginia,(I),"McKinley, David B.",,R,36107,133809,
West Virginia,,,Party Votes:,R,36107,,
West Virginia,,"Thorn, Sue",,D,49203,80342,
West Virginia,,,Party Votes:,D,49203,,
West Virginia,,,District Votes:,,85310,214151,
West Virginia,,DISTRICT 2,,,,,
West Virginia,(I),"Capito, Shelley Moore",,R,35008,158206,
West Virginia,,"Miller, Jonathan",,R,4711,,
West Virginia,,"Davis, Michael",,R,2495,,
West Virginia,,,Party Votes:,R,42214,,
West Virginia,,"Swint, Howard",,D,22563,68560,
West Virginia,,"McCann, William",,D,13668,,
West Virginia,,"Brown, Dugald",,D,10514,,
West Virginia,,,Party Votes:,D,46745,,
West Virginia,,,District Votes:,,88959,226766,
West Virginia,,DISTRICT 3,,,,,
West Virginia,(I),"Rahall, Nick J., II",,D,66745,108199,
West Virginia,,,Party Votes:,D,66745,,
West Virginia,,"Snuffer, Rick",,R,12359,92238,
West Virginia,,"Bias, Lee A.",,R,6671,,
West Virginia,,"Lester, Bill",,R,4104,,
West Virginia,,,Party Votes:,R,23134,,
West Virginia,,,District Votes:,,89879,200437,
West Virginia,,,,,,,
West Virginia,,,Total State Votes:,,264148,641354,
West Virginia,,,,,,,
West Virginia,(I),"Manchin, Joe, III",,D,163891,399898,
West Virginia,,"Fletcher, Sheirl",,D,41118,,
West Virginia,,,Party Votes:,D,205009,,
West Virginia,,"Raese, John R.",,R,88510,240787,
West Virginia,,,Party Votes:,R,88510,,
West Virginia,,"Baber, Bob Henry",,MTP,,19517,
West Virginia,,,Total State Votes:,,293519,660202,
,,,,,,,
Wisconsin,,DISTRICT 1,,,,,
Wisconsin,(I),"Ryan, Paul",,R,65700,200423,
Wisconsin,,Scattered,,W(R),278,,
Wisconsin,,,Party Votes:,R,65978,,
Wisconsin,,"Zerban, Rob",,D,16265,158414,
Wisconsin,,Scattered,,W(D),27,,
Wisconsin,,,Party Votes:,D,16292,,
Wisconsin,,"Deschler, Keith ",,LIB,,6054,
Wisconsin,,Scattered,,W(AE),7,,
Wisconsin,,,Party Votes:,AE,7,,
Wisconsin,,Scattered,,W(CON),3,,
Wisconsin,,,Party Votes:,CON,3,,
Wisconsin,,Scattered,,W,,167,
Wisconsin,,,District Votes:,,82280,365058,
Wisconsin,,DISTRICT 2,,,,,
Wisconsin,,"Pocan, Mark  ",,D,43171,265422,
Wisconsin,,"Roys, Kelda Helen",,D,13081,,
Wisconsin,,"Silverman, Matt",,D,2365,,
Wisconsin,,"Hall, Dennis",,D,1163,,
Wisconsin,,Scattered,,W(D),46,,
Wisconsin,,,Party Votes:,D,59826,,
Wisconsin,,"Lee, Chad",,R,32813,124683,
Wisconsin,,Scattered,,W(R),158,,
Wisconsin,,,Party Votes:,R,32971,,
Wisconsin,,Scattered,,W(AE),4,,
Wisconsin,,,Party Votes:,AE,4,,
Wisconsin,,Scattered,,W(CON),1,,
Wisconsin,,,Party Votes:,CON,1,,
Wisconsin,,Scattered,,W,,787,
Wisconsin,,"Kopsick, Joe",,W,,6,
Wisconsin,,,District Votes:,,92802,390898,
Wisconsin,,DISTRICT 3,,,,,
Wisconsin,(I),"Kind, Ron",,D,19755,217712,
Wisconsin,,Scattered,,W(D),27,,
Wisconsin,,,Party Votes:,D,19782,,
Wisconsin,,"Boland, Ray",,R,35668,121713,
Wisconsin,,Scattered,,W(R),148,,
Wisconsin,,,Party Votes:,R,35816,,
Wisconsin,,Scattered,,W(AE),12,,
Wisconsin,,,Party Votes:,AE,12,,
Wisconsin,,Scattered,,W(CON),11,,
Wisconsin,,,Party Votes:,CON,11,,
Wisconsin,,Scattered,,W,,339,
Wisconsin,,,District Votes:,,55621,339764,
Wisconsin,,DISTRICT 4,,,,,
Wisconsin,(I),"Moore, Gwen",,D,34525,235257,
Wisconsin,,Scattered,,W(D),115,,
Wisconsin,,,Party Votes:,D,34640,,
Wisconsin,,"Sebring, Dan",,R,19144,80787,
Wisconsin,,Scattered,,W(R),200,,
Wisconsin,,,Party Votes:,R,19344,,
Wisconsin,,Scattered,,W(AE),13,,
Wisconsin,,,Party Votes:,AE,13,,
Wisconsin,,Scattered,,W(CON),20,,
Wisconsin,,,Party Votes:,CON,20,,
Wisconsin,,"Raymond, Robert R.",,IND,,9277,
Wisconsin,,Scattered,,W,,467,
Wisconsin,,,District Votes:,,54017,325788,
Wisconsin,,DISTRICT 5,,,,,
Wisconsin,(I),"Sensenbrenner, F. James, Jr.",,R,89370,250335,
Wisconsin,,Scattered,,W(R),535,,
Wisconsin,,,Party Votes:,R,89905,,
Wisconsin,,"Heaster, Dave",,D,9266,118478,
Wisconsin,,Scattered,,W(D),13,,
Wisconsin,,,Party Votes:,D,9279,,
Wisconsin,,Scattered,,W(AE),5,,
Wisconsin,,,Party Votes:,AE,5,,
Wisconsin,,Scattered,,W(CON),3,,
Wisconsin,,,Party Votes:,CON,3,,
Wisconsin,,Scattered,,W,,851,
Wisconsin,,,District Votes:,,99192,369664,
Wisconsin,,DISTRICT 6,,,,,
Wisconsin,(I),"Petri, Tom ",,R,73376,223460,
Wisconsin,,"Stephens, Lauren",,R,15821,,
Wisconsin,,Scattered,,W(R),75,,
Wisconsin,,,Party Votes:,R,89272,,
Wisconsin,,"Kallas, Joe",,D,11285,135921,
Wisconsin,,Scattered,,W(D),18,,
Wisconsin,,,Party Votes:,D,11303,,
Wisconsin,,Scattered,,W(AE),3,,
Wisconsin,,,Party Votes:,AE,3,,
Wisconsin,,Scattered,,W(CON),1,,
Wisconsin,,,Party Votes:,CON,1,,
Wisconsin,,Scattered,,W,,364,
Wisconsin,,,District Votes:,,100579,359745,
Wisconsin,,DISTRICT 7,,,,,
Wisconsin,(I),"Duffy, Sean",,R,46987,201720,
Wisconsin,,Scattered,,W(R),252,,
Wisconsin,,,Party Votes:,R,47239,,
Wisconsin,,"Kreitlow, Pat",,D,16053,157524,
Wisconsin,,Scattered,,W(D),19,,
Wisconsin,,,Party Votes:,D,16072,,
Wisconsin,,Scattered,,W(AE),6,,
Wisconsin,,,Party Votes:,AE,6,,
Wisconsin,,Scattered,,W(CON),4,,
Wisconsin,,,Party Votes:,CON,4,,
Wisconsin,,Scattered,,W,,405,
Wisconsin,,"Lehner, Dale C.",,W,,20,
Wisconsin,,,District Votes:,,63321,359669,
Wisconsin,,DISTRICT 8,,,,,
Wisconsin,(I),"Ribble, Reid J.",,R,64689,198874,
Wisconsin,,Scattered,,W(R),251,,
Wisconsin,,,Party Votes:,R,64940,,
Wisconsin,,"Wall, Jamie",,D,11513,156287,
Wisconsin,,Scattered,,W(D),19,,
Wisconsin,,,Party Votes:,D,11532,,
Wisconsin,,Scattered,,W(AE),6,,
Wisconsin,,,Party Votes:,AE,6,,
Wisconsin,,Scattered,,W(CON),1,,
Wisconsin,,,Party Votes:,CON,1,,
Wisconsin,,Scattered,,W,,303,
Wisconsin,,,District Votes:,,76479,355464,
Wisconsin,,,,,,,
Wisconsin,,,Total State Votes:,,624291,2866050,
Wisconsin,,,,,,,
Wisconsin,,"Baldwin, Tammy",,D,185265,1547104,
Wisconsin,,Scattered,,W(D),424,,
Wisconsin,,,Party Votes:,D,185689,,
Wisconsin,,"Thompson, Tommy G.",,R,197928,1380126,
Wisconsin,,"Hovde, Eric",,R,179557,,
Wisconsin,,"Neumann, Mark W.",,R,132786,,
Wisconsin,,"Fitzgerald, Jeff",,R,71871,,
Wisconsin,,Scattered,,W(R),244,,
Wisconsin,,,Party Votes:,R,582386,,
Wisconsin,,"Kexel, Joseph",,LIB,,62240,
Wisconsin,,"Nimrod, Allen Y.U., III",,IDA,,16455,
Wisconsin,,Scattered,,W,,3373,
Wisconsin,,"Hood, Riley J",,W,,70,
Wisconsin,,"Lorbiecki, Diane",,W,,43,
Wisconsin,,Scattered,,W(AE),118,,
Wisconsin,,,Party Votes:,AE,118,,
Wisconsin,,Scattered,,W(CON),109,,
Wisconsin,,,Party Votes:,CON,109,,
Wisconsin,,,Total State Votes:,,768302,3009411,
,,,,,,,
Wyoming,(I),"Lummis, Cynthia M.",,R,73153,166452,
Wyoming,,Scattered,,W(R),1393,,
Wyoming,,,Party Votes:,R,74546,,
Wyoming,,"Henrichsen, Chris",,D,16259,57573,
Wyoming,,Scattered,,W(D),177,,
Wyoming,,,Party Votes:,D,16436,,
Wyoming,,"Brubaker, Richard P.",,LIB,,8442,
Wyoming,,"Cummings, Daniel Clyde",,CON,,4963,
Wyoming,,"Wills, Don",,COU,,3775,
Wyoming,,Scattered,,W,,416,
Wyoming,,,District Votes:,,90982,241621,
Wyoming,,,,,,,
Wyoming,,,Total State Votes:,,90982,241621,
Wyoming,,,,,,,
Wyoming,(I),"Barrasso, John",,R,73516,185250,
Wyoming,,"Bleming, Thomas",,R,5080,,
Wyoming,,"Mavy, Emmett A.",,R,2873,,
Wyoming,,Scattered,,W(R),279,,
Wyoming,,,Party Votes:,R,81748,,
Wyoming,,"Chesnut, Tim",,D,9173,53019,
Wyoming,,"Hamburg, Al",,D,4630,,
Wyoming,,"Bryk, William",,D,3047,,
Wyoming,,Scattered,,W(D),222,,
Wyoming,,,Party Votes:,D,17072,,
Wyoming,,"Otto, Joel",,COU,,6176,
Wyoming,,Scattered,,W,,417,
Wyoming,,,Total State Votes:,,98820,244862,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
