STATE,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES
Indiana,,"Baldwin, Jack H.",,W,,294
Indiana,,,Senate Votes:,,393960,1341111
Maine,(I),"Snowe, Olympia J.",,R,58979,402598
Maine,,"Libby, Edward M.",,W(R),673,
Maine,,,Party Votes:,R,59652,
Maine,,"Hay Bright, Jean M.",,D,22582,111984
Maine,,"Mehnert, Eric M.",,D,22019,
Maine,,,Party Votes:,D,44601,
Maine,,"Slavick, William H.",,U (IND),,29220
Maine,,"Beardsley, Michael A.",,W,,179
Maine,,,Senate Votes:,,104253,543981
Maryland,,"Cardin, Benjamin L.",,D,257545,965477
Maryland,,"Mfume, Kweisi",,D,238957,
Maryland,,"Rales, Josh",,D,30737,
Maryland,,"Rasmussen, Dennis F.",,D,10997,
Maryland,,"Schaefer, Mike",,D,7773,
Maryland,,"Lichtman, Allan",,D,6919,
Maryland,,"Scaldaferri, Theresa C.",,D,5081,
Maryland,,"Hutchinson, James H.",,D,4949,
Maryland,,"Dickerson, David",,D,3950,
Maryland,,"Kaufman, A. Robert",,D,3908,
Maryland,,"Jaworski, Anthony",,D,3486,
Maryland,,"McCaskill, Thomas",,D,3459,
Maryland,,"English, George T.",,D,2305,
Maryland,,"Robinson, Bob",,D,2208,
Maryland,,"Young, Lih",,D,2039,
Maryland,,"Taylor, Blaine",,D,1848,
Maryland,,"Werner, Joseph",,D,1832,
Maryland,,"Smith, Charles Ulysses",,D,1702,
Maryland,,,Party Votes:,D,589695,
Maryland,,"Steele, Michael S.",,R,190790,787182
Maryland,,"Kimble, John",,R,6280,
Maryland,,"Gordon, Earl S.",,R,4110,
Maryland,,"Vovak, Daniel ""Wig Man""",,R,4063,
Maryland,,"Hampton, Thomas J.",,R,3946,
Maryland,,"Vaughn, Corrogan R.",,R,2565,
Maryland,,"Muffoletto, Daniel",,R,2335,
Maryland,,"Shawver, Richard",,R,2298,
Maryland,,"Bly, Ray",,R,2114,
Maryland,,"Madej, Edward Raymond",,R,902,
Maryland,,,Party Votes:,R,219403,
Maryland,,"Zeese, Kevin",,GRE,*,27564
Maryland,,Scattered,,W,,796
Maryland,,"Young, Lih",,W,,120
Maryland,,,Senate Votes:,,809098,1781139
Massachusetts,(I),"Kennedy, Edward M.",,D,729137,1500738
Massachusetts,,Scattered,,W(D),10149,
Massachusetts,,,Party Votes:,D,739286,
Massachusetts,,"Chase, Kenneth G.",,R,35595,661532
Massachusetts,,"Scott, Kevin P.",,R,34262,
Massachusetts,,Scattered,,W(R),550,
Massachusetts,,,Party Votes:,R,70407,
Massachusetts,,Scattered,,W,,3220
Massachusetts,,,Senate Votes:,,809693,2165490
Michigan,(I),"Stabenow, Debbie",,D,513438,2151278
Michigan,,"White, Randal",,W(D),18,
Michigan,,,Party Votes:,D,513456,
Michigan,,"Bouchard, Michael",,R,360409,1559597
Michigan,,"Butler, Keith",,R,235072,
Michigan,,,Party Votes:,R,595481,
Michigan,,"Schwartz, Leonard",,LBT,*,27012
Michigan,,"Sole, David",,GRE,*,23890
Michigan,,"FitzSimons, W. Dennis",,UST,*,18341
Michigan,,"McAtee, Brett",,W,,24
Michigan,,,Senate Votes:,,1108937,3780142
Minnesota,,"Klobuchar, Amy",,DFL,294671,1278849
Minnesota,,"Stanton, Darryl",,DFL,23872,
Minnesota,,,Party Votes:,DFL,318543,
Minnesota,,"Kennedy, Mark",,R,147091,835653
Minnesota,,"Uldrich, John",,R,10025,
Minnesota,,"Shudlick, Harold",,R,5941,
Minnesota,,,Party Votes:,R,163057,
Minnesota,,"Fitzgerald, Robert",,IDP,5520,71194
Minnesota,,"Collins, Miles W.",,IDP,2600,
Minnesota,,"Williams, Stephen",,IDP,2575,
Minnesota,,,Party Votes:,IDP,10695,
Minnesota,,"Cavlan, Michael James",,GRE,,10714
Minnesota,,"Powers, Ben",,CON,,5408
Minnesota,,Scattered,,W,,901
Minnesota,,"Idusogie, Peter",,W,,29
Minnesota,,"Uldrich, Charles",,W,,15
Minnesota,,"Williamson, Rebecca",,W,,5
Minnesota,,"Uldrich, John",,W,,4
Minnesota,,,Senate Votes:,,492295,2202772
Mississippi,(I),"Lott, Trent ",,R,Unopposed,388399
Mississippi,,"Fleming, Erik R.",,D,46185,213000
Mississippi,,"Bowlin, Bill",,D,23175,
Mississippi,,"O'Keefe, James ",,D,20815,
Mississippi,,"Starr, Catherine M.",,D,14629,
Mississippi,,Scattered,,W(D),42,
Mississippi,,,Party Votes:,D,104846,
Mississippi,,"Taylor, Harold M.",,LBT,,9522
Mississippi,,,Senate Votes:,,104846,610921
Missouri,,"McCaskill, Claire",,D ,282767,1055255
Missouri,,"Young, Bill Clinton",,D,67173,
Missouri,,,Party Votes:,D,349940,
Missouri,(I),"Talent, Jim",,R,289573,1006941
Missouri,,"Babbitt, Scott",,R,13189,
Missouri,,"Lea, Joyce P.",,R,11705,
Missouri,,"Hair, Isaiah, Jr.",,R,6415,
Missouri,,"Fausnaught, Roxie L.",,R,4900,
Missouri,,,Party Votes:,R,325782,
Missouri,,"Gilmour, Frank",,LBT,1693,47792
Missouri,,,Party Votes:,LBT,1693,
Missouri,,"Lewis, Lydia",,PRO,,18383
Missouri,,"Barrett, Don",,W,,72
Missouri,,"Shortland, Arthur W.",,W,,16
Missouri,,,Senate Votes:,,677415,2128459
Montana,,"Tester, Jon",,D,65757,199845
Montana,,"Morrison, John ",,D,38394,
Montana,,"Richards, Paul ",,D,1636,
Montana,,"Candee, Robert",,D,1471,
Montana,,"Marcure, Kenneth A.",,D,940,
Montana,,,Party Votes:,D,108198,
Montana,(I),"Burns, Conrad",,R,70434,196283
Montana,,"Keenan, Bob",,R,21754,
Montana,,"Kelleher, Bob",,R,4082,
Montana,,"Neste Huffman, Daniel Lloyd",,R,1203,
Montana,,,Party Votes:,R,97473,
Montana,,"Jones, Stan",,LBT,,10377
Montana,,,Senate Votes:,,205671,406505
Nebraska,(I),"Nelson, Ben",,D,91592,378388
Nebraska,,,Party Votes:,D,91592,
Nebraska,(I),"Nelson, Ben",,N(D),909,
Nebraska,,,Party Votes:,N(D),909,
Nebraska,,"Ricketts, Pete",,R,127795,213928
Nebraska,,"Stenberg, Don",,R,95101,
Nebraska,,"Kramer, David J.",,R,42954,
Nebraska,,,Party Votes:,R,265850,
Nebraska,,"Ricketts, Pete",,N(R),1848,
Nebraska,,"Stenberg, Don",,N(R),1395,
Nebraska,,"Kramer, David J.",,N(R),861,
Nebraska,,,Party Votes:,N(R),4104,
Nebraska,,,Senate Votes:,,362455,592316
Nevada,(I),"Ensign, John",,R,127023,322501
Nevada,,"Hamilton, Edward ""Fast Eddie""",,R,6649,
Nevada,,None of These Candidates,,R,6754,
Nevada,,,Party Votes:,,140426,
Nevada,,"Carter, Jack",,D,92270,238796
Nevada,,None of These Candidates,,D,14425,
Nevada,,"Tun, Ruby Jee",,D,11147,
Nevada,,,Party Votes:,D,117842,
Nevada,,None of These Candidates,,,,8232
Nevada,,"Schumann, David K.",,IAP,,7774
Nevada,,"Trainor, Brendan",,LBT,,5269
Nevada,,,Senate Votes:,,258268,582572
New Jersey,(I),"Menendez, Robert",,D,159604,1200843
New Jersey,,"Kelly, James D., Jr.",,D,30340,
New Jersey,,,Party Votes:,D,189944,
