STATE,D,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES ,,
Hawaii,S - Unexpired Term,,"Hanabusa, Colleen Wakako",,D,113663,,,
Hawaii,S - Unexpired Term,,"Evans, Brian",,D,4842,,,
Hawaii,S - Unexpired Term,,,Party Votes:,D,233950,,,
Hawaii,S - Unexpired Term,,"Cavasso, Cam",,R,25874,98006,,
Hawaii,S - Unexpired Term,,"Roco, John P.",,R,4425,,,
Hawaii,S - Unexpired Term,,"Friel, Harry J., Jr.",,R,3477,,,
Hawaii,S - Unexpired Term,,"Pirkowski, Eddie",,R,2033,,,
Hawaii,S - Unexpired Term,,,Party Votes:,R,35809,,,
Hawaii,S - Unexpired Term,,"Kokoski, Michael",,LIB,568,8941,,
Hawaii,S - Unexpired Term,,,Party Votes:,LIB,568,,,
Hawaii,S - Unexpired Term,,"Allison, Joy",,N,388,,,
Hawaii,S - Unexpired Term,,"Reyes, Arturo Pacheco",,N,184,,,
Hawaii,S - Unexpired Term,,,Party Votes:,N,572,,,
Hawaii,S - Unexpired Term,,,Total State Votes (Unexpired Term):,,270899,353774,,
,,,,,,,,,
Idaho,S,(I),"Risch, Jim",,R,119209,285596,,
Idaho,S,,"Anderson, Jeremy ""T""",,R,29939,,,
Idaho,S,,,Party Votes:,R,149148,,,
Idaho,S,,"Mitchell, Nels",,D,16908,151574,,
Idaho,S,,"Bryk, William ",,D,7378,,,
Idaho,S,,,Party Votes:,D,24286,,,
Idaho,S,,,Total State Votes:,,173434,437170,,
,,,,,,,,,
Illinois,S,(I),"Durbin, Richard J.",,D,429041,1929637,,
Illinois,S,,,Party Votes:,D,429041,,,
Illinois,S,,"Oberweis, James D. ""Jim""",,R,423097,1538522,,
Illinois,S,,"Truax, Douglas Lee",,R,331237,,,
Illinois,S,,"Procarrone, Sherry",,W(R),54,,,
Illinois,S,,,Party Votes:,R,754388,,,
Illinois,S,,"Hansen, Sharon",,LIB,,135316,,
Illinois,S,,,,,,,,
Illinois,S,,"Davis, Roger K.",,W,,31,,
Illinois,S,,"Shioura, Hilaire F.",,W,,12,,
Illinois,S,,"Procarione, Sherry",,W,,1,,
Illinois,S,,,Total State Votes:,,1183429,3603519,,
,,,,,,,,,
Iowa,S,,"Ernst, Joni",,R,88535,588575,,
Iowa,S,,"Clovis, Sam",,R,28418,,,
Iowa,S,,"Jacobs, Mark ",,R,26523,,,
Iowa,S,,"Whitaker, Matt",,R,11884,,,
Iowa,S,,"Schaben, Scott",,R,2233,,,
Iowa,S,,Scattered,,W(R),155,,,
Iowa,S,,,Party Votes:,R,157748,,,
Iowa,S,,"Braley, Bruce",,D,62600,494370,,
Iowa,S,,Scattered,,W(D),545,,,
Iowa,S,,,Party Votes:,D,63145,,,
Iowa,S,,"Stewart, Rick",,IND,,26815,,
Iowa,S,,"Butzier, Douglas",,LIB,,8232,,
Iowa,S,,"Quast, Bob",,BQT,,5873,,
Iowa,S,,"Smith, Ruth",,NNE,,4724,,
Iowa,S,,Scattered,,W,,1111,,
Iowa,S,,,Total State Votes:,,220893,1129700,,
,,,,,,,,,
Kansas,S,(I),"Roberts, Pat",,R ,127089,460350,,
Kansas,S,,"Wolf, Milton",,R ,107799,,,
Kansas,S,,"Smith, D.J.",,R ,15288,,,
Kansas,S,,"Zahnter, Alvin E.",,R ,14164,,,
Kansas,S,,,Party Votes:,R,264340,,,
Kansas,S,,"Orman, Greg",,IND,,368372,,
Kansas,S,,"Batson, Randall",,LIB,*,37469,,
Kansas,S,,"Taylor, Chad #",,D,35067,#,,
Kansas,S,,"Wiesner, Patrick",,D,30752,,,
Kansas,S,,,Party Votes:,D,65819,,,
Kansas,S,,,Total State Votes:,,330159,866191,,
,,,,,,,,,
Kentucky,S,(I),"McConnell, Mitch",,R,213753,806787,,
Kentucky,S,,"Bevin, Matt",,R,125787,,,
Kentucky,S,,"Payne, Chris",,R,5338,,,
Kentucky,S,,"Copas, Brad",,R,3024,,,
Kentucky,S,,,Party Votes:,R,347902,,,
Kentucky,S,,"Grimes, Alison Lundergan ",,D,307821,584698,,
Kentucky,S,,"Leichty, Gregory Brent",,D,32602,,,
Kentucky,S,,"Farnsley, Burrel Charles",,D,32310,,,
Kentucky,S,,"Recktenwald, Tom",,D,29791,,,
Kentucky,S,,,Party Votes:,D,402524,,,
Kentucky,S,,"Patterson, David M.",,LIB,7214,44240,,
Kentucky,S,,,Party Votes:,LIB,7214,,,
Kentucky,S,,"Maggard, Mike",,W,,17,,
Kentucky,S,,"Ransdell, Robert Edward",,W,,53,,
Kentucky,S,,"Sterling, Shawna",,W,,9,,
Kentucky,S,,"Welch, Gregory D.",,W,,64,,
Kentucky,S,,,Total State Votes:,,757640,1435868,,
,,,,,,,,,
Louisiana,S,,"Cassidy, ""Bill""",,R,n/a,603048,,
Louisiana,S,(I),"Landrieu, Mary L.",,D,n/a,619402,,
Louisiana,S,,"Maness, ""Rob""",,R,n/a,202556,,
