STATE,DISTRICT,(I),CANDIDATE NAME,TOTAL VOTES,PARTY,PRIMARY VOTES,GENERAL VOTES
Georgia,S,,"Squires, Mary Hodges",,D,55040,
Georgia,S,,"Baier, Leigh",,D,47484,
Georgia,S,,"Finkelstein, Jim",,D,22532,
Georgia,S,,"Cottingham, Sid",,D,16200,
Georgia,S,,"Patel, Govind N.",,D,9165,
Georgia,S,,,Party Votes:,D,625115,
Georgia,S,,"Buckley, Allen",,LBT,,69051
Georgia,S,,"Bartell, Al",,W,,31
Georgia,S,,"Jamison, Matthew",,W,,7
Georgia,S,,,Senate Votes:,,1276107,3200981
Hawaii,S,(I),"Inouye, Daniel K.",,D,157367,313629
Hawaii,S,,"Evans, Brian",,D,8051,
Hawaii,S,,"Yoon, Eddie",,D,2437,
Hawaii,S,,,Party Votes:,D,167855,
Hawaii,S,,"Cavasso, Cam",,R,21645,87172
Hawaii,S,,"Payne, Rich",,R,9630,
Hawaii,S,,"Friedheim, Jay",,R,7028,
Hawaii,S,,"DeLuze, James R.",,R,5653,
Hawaii,S,,,Party Votes:,R,43956,
Hawaii,S,,"Brewer, Jim",,N,1005,9269
Hawaii,S,,"Brown, J. Turner",,N,373,
Hawaii,S,,,Party Votes:,N,1378,
Hawaii,S,,"Mallan, Jeff",,LBT,752,5277
Hawaii,S,,,Party Votes:,LBT,752,
Hawaii,S,,,Senate Votes:,,213941,415347
Idaho,S,(I),"Crapo, Mike",,R,118286,499796
Idaho,S,,,Party Votes:,R,118286,
Idaho,S,,"McClure, Scott F. ",,W(D),,4136
Idaho,S,,,Senate Votes:,,118286,503932
Illinois,S,,"Obama, Barack",,D,655923,3597456
Illinois,S,,"Hynes, Daniel W.",,D,294717,
Illinois,S,,"Hull, M. Blair",,D,134453,
Illinois,S,,"Pappas, Maria ",,D,74987,
Illinois,S,,"Chico, Gery",,D,53433,
Illinois,S,,"Skinner, Nancy ",,D,16098,
Illinois,S,,"Washington, Joyce",,D,13375,
Illinois,S,,"Hunt, Estella Johnson",,W(D),10,
Illinois,S,,,Party Votes:,D,1242996,
Illinois,S,,"Keyes, Alan",,R,*,1390690
Illinois,S,,"Ryan, Jack",,R,234791,
Illinois,S,,"Oberweis, Jim",,R,155794,
Illinois,S,,"Rauschenberger, Steven J.",,R,132655,
Illinois,S,,"McKenna, Andy",,R,97238,
Illinois,S,,"Wright, Jonathan C.",,R,17189,
Illinois,S,,"Borling, John",,R,13390,
