Date,State,Candidate Name,Number of Votes,Percentage,(I),Party,,,,,
12-Jun,Nevada,Allen Rheinhart,4774,3.3,0,D,,,,,
12-Jun,Nevada,Jesse Sbaih,4538,3.2,0,D,,,,,
12-Jun,Nevada,Bobby Mahendra,3833,2.7,0,D,,,,,
12-Jun,Nevada,Danny Burleigh,3244,2.3,0,D,,,,,
12-Jun,Nevada,Dean Heller,99472,70.00%,1,R,,,,,
12-Jun,Nevada,Tom Heck,26291,18.5,0,R,,,,,
12-Jun,Nevada,None of these candidates,5975,4.2,0,R,,,,,
12-Jun,Nevada,Sherry Brooks,5144,3.6,0,R,,,,,
12-Jun,Nevada,Sarah Gazala,4011,2.8,0,R,,,,,
12-Jun,Nevada,Vic Harrell,1282,0.9,0,R,,,,,
12-Jun,Maine,Zak Ringelstein,0,0,0,D,,,,,
12-Jun,Maine,Eric Brakey,0,0,0,R,,,,,
12-Jun,North Dakota,Heidi Heitkamp,0,0,1,D,,,,,
12-Jun,North Dakota,Kevin Cramer,60998,87.80%,0,R,,,,,
12-Jun,North Dakota,Thomas O'Neill,8449,12.2,0,R,,,,,
12-Jun,Virginia,Tim Kaine,0,0,1,D,,,,,
12-Jun,Virginia,Corey Stewart,136544,44.90%,0,R,,,,,
12-Jun,Virginia,Nick Freitas,131267,43.1,0,R,,,,,
12-Jun,Virginia,E.W. Jackson,36624,12,0,R,,,,,
